id,Logbook type,Päivämäärä,Tunnus,Tyyppi,Lähtökenttä,Laskukenttä,Off Block,Lähtöaika,Laskuaika,On Block,Takeoff-landing flight time,Block flight time,Laskuja päivällä,Laskuja yöllä,Pilot config,Engine config,Yölentoaika,Mittarilentoaika,PIC,Copilot,Opettaja,Oppilas,Lähtötapa,Irroituskorkeus,Max korkeus,Matka km,Moott.p.,Lentotyyppi,Omat muistiinpanot
45152,easa,05.05.2023,OH-CTL,C172M,Tuusula,Kabböle,18:30,18:35,19:33,19:37,58,67,4,0,1,1,0,0,1,,,,,,,,,LASKUTETTAVA,
44367,easa,04.04.2023,OH-CAM,C172,EFHV,EFHV,17:07,17:12,17:32,17:35,20,28,4,0,1,1,0,0,1,,,,,,,,,HAR,
44354,easa,03.04.2023,OH-CAM,C172,EFHV,EFHV,18:51,19:00,19:36,19:39,36,48,2,0,1,1,0,0,1,,,,,,,,,HAR,
44320,easa,02.04.2023,OH-CAM,C172,EFHV,EFHV,11:20,11:28,13:24,13:26,116,126,3,0,1,1,0,0,1,,,,,,,,,MAT,
44050,easa,10.03.2023,OH-CGX,C172,EFHV,EFHV,19:17,19:25,19:52,19:54,27,37,0,2,1,1,0,0,1,,,,,,,,,HAR,
43718,easa,20.01.2023,OH-CAM,C172,EFHV,EFHV,11:04,11:10,14:04,14:06,174,182,6,0,1,1,0,0,1,,,,,,,,,MAT,
43623,easa,01.01.2023,OH-CAM,C172,EFHV,EFHV,11:40,11:50,12:29,12:32,39,52,3,0,1,1,0,0,1,,,,,,,,,HAR,
43542,easa,14.12.2022,OH-CGX,C172,EFHV,EFHV,10:40,10:51,11:37,11:40,46,60,5,0,1,1,0,0,1,,,,,,,,,HAR,
43149,easa,19.10.2022,OH-CAY,C172,EFHV,EFHV,14:18,14:23,15:01,15:04,38,46,4,0,1,1,0,0,1,,,,,,,,,LASKUTETTAVA,
43148,easa,12.10.2022,OH-CTL,C172M,Tuusula,EFRY,12:43,12:53,13:31,13:35,38,52,3,0,1,1,0,0,1,,,,,,,,,LASKUTETTAVA,
42582,easa,22.09.2022,OH-CTL,C172M,Tuusula,Hiidenpirtti,10:03,10:14,10:38,10:44,24,41,2,0,1,1,0,0,1,,,,,,,,,LASKUTETTAVA,
42583,easa,22.09.2022,OH-CTL,C172M,Hiidenpirtti,Tuusula,11:33,11:35,12:03,12:13,28,40,2,0,1,1,0,0,1,,,,,,,,,LASKUTETTAVA,
41949,easa,23.08.2022,OH-CTL,C172M,Inari,Kemijärvi,13:30,13:35,15:31,15:35,116,125,1,0,1,1,0,0,1,,,,,,,,,LASKUTETTAVA,
41950,easa,23.08.2022,OH-CTL,C172M,Kemijärvi,Sotkamo,17:03,17:05,19:04,19:09,119,126,1,0,1,1,0,0,1,,,,,,,,,LASKUTETTAVA,
39849,easa,05.07.2022,OH-TIL,Piper PA-28-161,EFTP,EFTP,20:06,20:11,20:25,20:28,14,22,3,0,1,1,0,0,,,,1,,,,,,KOULU,
39811,easa,04.07.2022,OH-CTL,C172M,Tuusula,Tuusula,19:35,19:40,20:35,20:45,55,70,6,0,1,1,0,0,1,,,,,,,,,LASKUTETTAVA,
39157,easa,20.06.2022,OH-CGX,C172,EFHV,EFNU,17:24,17:30,17:50,17:52,20,28,1,0,1,1,0,0,1,,,,,,,,,MAT,
39158,easa,20.06.2022,OH-CGX,C172,EFNU,EFHV,18:08,18:12,18:31,18:33,19,25,1,0,1,1,0,0,1,,,,,,,,,MAT,
38792,easa,10.06.2022,OH-CAM,C172,EFHV,EFHV,17:12,17:15,17:26,17:28,11,16,2,0,1,1,0,0,1,,,,,,,,,HAR,
38793,easa,10.06.2022,OH-CAM,C172,EFHV,EFHV,17:55,17:59,19:00,19:03,61,68,1,0,1,1,0,0,1,,,,,,,,,HAR,
38530,easa,30.05.2022,OH-CTL,C172M,Tuusula,Tuusula,18:00,18:08,19:05,19:15,57,75,5,0,1,1,0,0,1,,,,,,,,,LASKUTETTAVA,
38356,easa,23.05.2022,OH-CAM,C172,EFHV,EFNU,17:19,17:25,17:55,17:59,30,40,1,0,1,1,0,0,1,,,,,,,,,MAT,
38358,easa,23.05.2022,OH-CAM,C172,EFNU,EFHV,18:30,18:33,18:52,18:54,19,24,1,0,1,1,0,0,1,,,,,,,,,MAT,
38335,easa,22.05.2022,OH-CAM,C172,EFHV,EFHV,08:52,08:59,09:26,09:29,27,37,2,0,1,1,0,0,1,,,,,,,,,HAR,
38100,easa,13.05.2022,OH-CTL,C172M,Hiidenvesi,Tuusula,15:17,15:18,16:04,16:07,46,50,9,0,1,1,0,0,,,,1,,,,,,VAPAA,Opettajan kerhotarkkari Oppilas Rami Ayoub, Opettaja Mikko Sinervä
37946,easa,10.05.2022,OH-CTL,C172M,Särkijärvi,Tuusula,19:50,19:54,20:27,20:30,33,40,4,0,1,1,0,0,1,,,,,,,,,VAPAA,
37407,easa,16.04.2022,OH-CAM,C172,EFHV,EFHV,17:30,17:37,19:09,19:12,92,102,3,0,1,1,0,0,1,,,,,,,,,MAT,
37406,easa,11.04.2022,OH-COK,Cessna C172N,EFHV,EFHV,13:26,13:33,15:08,15:14,95,108,6,0,1,1,0,0,1,,,,,,,,,,
36830,easa,03.03.2022,OH-CAM,C172,EFHV,EFHV,19:05,19:17,19:50,19:54,33,49,0,5,1,1,33,0,1,,,,,,,,,HAR,
36730,easa,23.02.2022,OH-CGX,C172,EFHV,EFHV,20:30,20:35,20:52,20:55,17,25,0,3,1,1,17,0,1,,,,,,,,,HAR,
36610,easa,10.02.2022,OH-CAM,C172,EFHV,EFHV,11:05,11:17,11:37,11:40,20,35,4,0,1,1,0,0,1,,,,,,,,,HAR,
36611,easa,10.02.2022,OH-CAM,C172,EFHV,EFHV,11:57,12:04,12:33,12:36,29,39,2,0,1,1,0,0,1,,,,,,,,,HAR,
36447,easa,26.12.2021,OH-CMU,C152,EFHV,EFHV,11:34,11:40,12:34,12:36,54,62,6,0,1,1,0,0,1,,,,,,,,,HAR,
