"Date","Aircraft_Type","Aircraft_Reg","Departure","Arrival","Off_Block","On_Block","Takeoff","Landing","Block_Time","Total_Time","Instrument_Time","Night_Time","PIC_Time","Student_Time","Instructor_Time","pic_name","Landings","Remarks","Cumulative_Total","Cumulative_PIC","Cumulative_Student","Cumulative_Instrument","Cumulative_SEP_Sea","Cumulative_Landings","Cumulative_Instructor"
"07/08/2022","C172","OH-CTL","Tuusula","Tuusula","16:04Z","17:10Z","","","1:06","1:06","","","1:06","","1:06","self","6","","873:41","716:46","156:55","73:03","234:52","2223","77:32"
"09/08/2022","P28A","OH-PIF","EFLA","EFLA","15:38Z","16:55Z","","","1:17","1:17","","","1:17","","","self","2","","874:58","718:03","156:55","73:03","234:52","2225","77:32"
"10/08/2022","P28A","OH-PIF","EFLA","EFLA","13:20Z","15:15Z","","","1:55","1:55","1:55","","","1:55","","Tarhanen","1","","876:53","718:03","158:50","74:58","234:52","2226","77:32"
"13/08/2022","P28A","OH-PDP","EFHV","EFHV","18:24Z","18:56Z","","","0:29","0:29","","","0:29","","","self","1","","877:22","718:32","158:50","74:58","234:52","2227","77:32"
"23/08/2022","C172","OH-CTL","Inari","Kemijärvi","13:30Z","15:31Z","","","2:05","2:05","","","2:05","","","self","1","","879:27","720:37","158:50","74:58","236:57","2228","77:32"
"23/08/2022","C172","OH-CTL","Kemijärvi","Sodankylä","17:03Z","19:09Z","","","2:06","2:06","","","2:06","","","self","1","","881:33","722:43","158:50","74:58","239:03","2229","77:32"
"24/09/2022","C172","OH-CTL","Tuusula","Hiidenvesi","10:05Z","10:44Z","","","0:41","0:41","","","0:41","","","self","2","","882:14","723:24","158:50","74:58","239:44","2231","77:32"
"24/09/2022","C172","OH-CTL","Hiidenvesi","Tuusula","11:33Z","12:13Z","","","0:40","0:40","","","0:40","","","self","2","","882:54","724:04","158:50","74:58","240:24","2233","77:32"
"04/09/2022","P28A","OH-PDP","EFHV","EFLA","10:55Z","11:35Z","","","0:40","0:40","","","0:40","","","self","1","","883:34","724:44","158:50","74:58","240:24","2234","77:32"
"04/09/2022","P28A","OH-PDP","EFLA","EFHV","11:35Z","12:10Z","","","0:35","0:35","","","0:35","","","self","2","","884:09","725:19","158:50","74:58","240:24","2236","77:32"
"12/09/2022","P28A","OH-PDP","EFHV","EFHV","13:00Z","13:40Z","","","0:40","0:40","","","0:40","","","self","3","","884:49","725:59","158:50","74:58","240:24","2239","77:32"
"30/09/2022","SR20","OH-ESR","EFNU","EFNU","15:16Z","15:52Z","","","0:36","0:36","","","0:36","","","self","3","","885:25","726:35","158:50","74:58","240:24","2242","77:32"
"07/10/2022","P28A","OH-PDP","EFHV","EFHV","09:08Z","09:22Z","","","0:14","0:14","","","0:14","","","self","4","","885:39","726:49","158:50","74:58","240:24","2246","77:32"
"07/10/2022","P28A","OH-PDP","EFHV","EFHV","09:37Z","09:53Z","","","0:16","0:16","","","0:16","","","self","3","","885:55","727:05","158:50","74:58","240:24","2249","77:32"
"12/10/2022","P28A","OH-PDP","EFHV","EFHV","09:46Z","10:53Z","","","1:07","1:07","","","1:07","","1:07","self","5","","887:02","728:12","158:50","74:58","240:24","2254","78:39"
"12/10/2022","C172","OH-CTL","Tuusula","EFRY","12:43Z","13:35Z","","","0:52","0:52","","","0:52","","","self","3","","887:54","729:04","158:50","74:58","241:16","2257","78:39"
"19/10/2022","C172","OH-CAY","EFHV","EFHV","12:43","13:51","","","1:08","1:08","","","1:08","","1:08","self","4","","889:02","730:12","158:50","74:58","241:16","2261","79:47"
"19/10/2022","C172","OH-CAY","EFHV","EFHV","14:18","15:04","","","0:46","0:46","","","0:46","","","self","4","","889:48","730:58","158:50","74:58","241:16","2265","79:47"
"19/10/2022","C172","OH-CAY","EFHV","EFHV","12:21Z","13:30Z","","","1:09","1:09","","","1:09","","1:09","self","5","","890:57","732:07","158:50","74:58","241:16","2270","80:56"
"13/11/2022","P28A","OH-PDP","EFHV","EFHV","12:25Z","13:25Z","","","1:00","1:00","","","1:00","","","self","4","","891:57","733:07","158:50","74:58","241:16","2274","80:56"
"14/12/2022","C172","OH-CGX","EFHV","EFHV","10:40Z","11:40Z","","","1:00","1:00","","","1:00","","","self","5","","892:57","734:07","158:50","74:58","241:16","2279","80:56"
"01/01/2023","C172","OH-CAM","EFHV","EFHV","11:40Z","12:32Z","","","0:52","0:52","","","0:52","","","self","3","","893:49","734:59","158:50","74:58","241:16","2282","80:56"
"20/01/2023","C172","OH-CAM","EFHV","EFHV","09:04Z","12:06Z","","","3:02","3:02","","","3:02","","","self","6","","896:51","738:01","158:50","74:58","241:16","2288","80:56"
"11/02/2023","SR20","OH-ESR","EFNU","EFNU","11:30Z","12:20Z","","","0:50","0:50","","","","0:50","","Stude","4","","897:41","738:01","159:40","74:58","241:16","2292","80:56"
"14/02/2023","SR20","OH-ESR","EFNU","EFNU","08:25Z","10:10Z","","","1:45","1:45","0:30","","1:45","","","self","3","","899:26","739:46","159:40","75:28","241:16","2295","80:56"
"07/03/2023","SR20","OH-ESR","EFNU","EFNU","09:55Z","10:40Z","","","0:45","0:45","","","0:45","","","self","1","","900:11","740:31","159:40","75:28","241:16","2296","80:56"
"10/03/2023","C172","OH-CGX","EFHV","EFHV","17:17Z","17:54Z","","","0:37","0:37","","0:37","0:37","","","self","2","","900:48","741:08","159:40","75:28","241:16","2298","80:56"
"02/04/2023","C172","OH-CAM","EFHV","EFHV","08:20Z","10:26Z","","","2:06","2:06","","","2:06","","","self","3","","902:54","743:14","159:40","75:28","241:16","2301","80:56"
"03/04/2023","C172","OH-CAM","EFHV","EFHV","15:51Z","16:39Z","","","0:48","0:48","","","0:48","","","self","2","","903:42","744:02","159:40","75:28","241:16","2303","80:56"
"04/04/2023","C172","OH-CAM","EFHV","EFHV","14:07Z","14:35Z","","","0:28","0:28","","","0:28","","","self","4","","904:10","744:30","159:40","75:28","241:16","2307","80:56"
"15/04/2023","SR20","OH-ESR","EFNU","ESNU","05:45Z","07:45Z","","","2:00","2:00","1:50","","2:00","","","self","1","","906:10","746:30","159:40","77:18","241:16","2308","80:56"
"22/04/2023","SR20","OH-ESR","EFNU","EFPO","09:00Z","10:05Z","","","1:05","1:05","0:50","","1:05","","","self","1","","907:15","747:35","159:40","78:08","241:16","2309","80:56"
"22/04/2023","SR20","OH-ESR","EFPO","EFNU","14:00Z","15:00Z","","","1:00","1:00","","","1:00","","","self","1","","908:15","748:35","159:40","78:08","241:16","2310","80:56"
"05/05/2023","C172","OH-CTL","Räyskälä","Kabböle","15:30Z","16:37Z","","","1:07","1:07","","","1:07","","","self","4","","909:22","749:42","159:40","78:08","242:23","2314","80:56"
"06/05/2023","C172","OH-CTL","Kabböle","Kabböle","07:15Z","07:50Z","","","0:35","0:35","","","0:35","","0:35","self","7","","909:57","750:17","159:40","78:08","242:58","2321","81:31"
"06/05/2023","C172","OH-CTL","Kabböle","Kabböle","08:40Z","09:30Z","","","0:50","0:50","","","0:50","","0:50","self","8","","910:47","751:07","159:40","78:08","243:48","2329","82:21"
"06/05/2023","C172","OH-CTL","Kabböle","Kabböle","11:17Z","12:05Z","","","0:48","0:48","","","0:48","","0:48","self","7","","911:35","751:55","159:40","78:08","244:36","2336","83:09"
"06/05/2023","C172","OH-CTL","Kabböle","Kabböle","15:32Z","16:15Z","","","0:43","0:43","","","0:43","","0:43","self","9","","912:18","752:38","159:40","78:08","245:19","2345","83:52"
"06/05/2023","C172","OH-CTL","Kabböle","Kabböle","17:28Z","18:08Z","","","0:40","0:40","","","0:40","","0:40","self","5","","912:58","753:18","159:40","78:08","245:59","2350","84:32"
"07/05/2023","C172","OH-CTL","Kabböle","Kabböle","11:27Z","12:40Z","","","1:13","1:13","","","1:13","","1:13","self","7","","914:11","754:31","159:40","78:08","247:12","2357","85:45"
"07/05/2023","C172","OH-CTL","Kabböle","Laajasalo","13:44Z","14:25Z","","","0:41","0:41","","","0:41","","","self","1","","914:52","755:12","159:40","78:08","247:53","2358","85:45"
