date,reg,dep,arr,off,on,block,air,ldg,id
04/09/2024,OH-GKT,Asikkala,Kahvisaari,15:15,15:37,0:22,0:14,2,33000
19/09/2024,OH-GKT,Kahvisaari,Lieso,09:23,09:55,0:32,0:22,1,33070
19/09/2024,OH-GKT,Lieso,Kahvisaari,10:00,10:32,0:32,0:22,1,33071
19/09/2024,OH-GKT,Kahvisaari,Vääksy,11:42,13:10,1:28,1:11,7,33072
19/09/2024,OH-GKT,Vääksy,Kahvisaari,14:04,15:00,0:56,0:35,6,33073
20/09/2024,OH-GKT,Kahvisaari,Lietsaari,08:36,09:20,0:44,0:33,4,33074
20/09/2024,OH-GKT,Lietsaari,Kahvisaari,09:35,10:18,0:43,0:33,4,33075
20/09/2024,OH-GKT,Kahvisaari,Tuusulanjärv,11:15,11:55,0:40,0:32,2,33076
20/09/2024,OH-GKT,Tuusulanjärv,Kahvisaari,15:33,16:11,0:38,0:28,1,33079
30/09/2024,OH-GKT,Kahvisaari,Kahvisaari,13:52,14:58,1:06,0:53,10,33381
16/10/2024,OH-GKT,Kahvisaari,Kahvisaari,10:13,11:25,1:12,1:00,5,33382
17/06/2025,OH-GKT,Kahvisaari,Kahvisaari,16:56,17:53,0:57,0:46,7,35236
08/07/2025,OH-GKT,Kahvisaari,Kelvenne,15:53,16:30,0:37,0:29,4,35472
08/07/2025,OH-GKT,Kelvenne,Kahvisaari,16:37,17:05,0:28,0:19,2,35473
27/07/2025,OH-GKT,Kahvisaari,Kelvenne,17:02,17:30,0:28,0:19,1,36200
27/07/2025,OH-GKT,Kelvenne,Kahvisaari,18:05,18:40,0:35,0:24,6,36201
12/08/2025,OH-GKT,Kahvisaari,Kahvisaari,16:31,17:32,1:01,0:47,6,36429
13/08/2025,OH-GKT,Kahvisaari,Kahvisaari,11:21,12:32,1:11,1:04,6,36459
13/08/2025,OH-GKT,Kahvisaari,Kahvisaari,14:00,15:15,1:15,1:00,17,36460
14/08/2025,OH-GKT,Kahvisaari,Kahvisaari,14:35,15:50,1:15,1:02,8,36461
22/08/2025,OH-GKT,Kahvisaari,Kahvisaari,15:33,16:36,1:03,0:49,4,36607
19/09/2025,OH-GKT,Pyhäjärvi,Kahvisaari,13:25,14:15,0:50,0:40,1,36897
03/10/2025,OH-GKT,Kahvisaari,Vääksy,12:03,12:43,0:40,0:26,8,37069
03/10/2025,OH-GKT,Vääksy,Kahvisaari,14:18,14:45,0:27,0:15,2,37070
17/10/2025,OH-GKT,Kahvisaari,Padasjoki,10:15,10:50,0:35,0:27,6,37187
17/10/2025,OH-GKT,Padasjoki,Kahvisaari,10:51,11:32,0:41,0:28,1,37188
31/10/2025,OH-GKT,Kahvisaari,Kahvisaari,10:05,11:06,1:01,0:46,6,37229
01/11/2025,OH-GKT,Kahvisaari,Kahvisaari,11:49,12:55,1:06,0:56,1,37230
06/11/2025,OH-GKT,Kahvisaari,EFRY,10:36,11:26,0:50,0:40,1,37247
13/06/2026,OH-GKT,EFRY,Kahvisaari,11:00,12:02,1:02,0:50,1,38967
26/06/2026,OH-GKT,kahvisaari,Kahvisaari,12:31,13:34,1:03,0:49,9,39168
11/07/2026,OH-GKT,Kahvisaari,Mäntyharju,09:23,10:27,1:04,0:45,2,39803
11/07/2026,OH-GKT,Mäntyharju,Leikonvesi,12:15,13:20,1:05,0:47,1,39804
12/07/2026,OH-GKT,Leikonvesi,Kahvisaari,06:08,07:25,1:17,1:06,1,39806
